deaths,discharged,total,active,perdeath,perdis,peractive,date
0,0,13,13.0,0.0,0.0,0.0,2020-03-11
0,0,13,13.0,0.0,0.0,0.0,2020-03-12
2,10,9,-3.0,2.44,12.2,-14.629999999999995,2020-03-13
0,0,2,2.0,-0.06000000000000005,-0.29999999999999893,0.3399999999999892,2020-03-14
0,3,26,23.0,-0.5599999999999998,-0.08000000000000007,0.6500000000000057,2020-03-15
0,0,4,4.0,-0.07000000000000006,-0.41999999999999993,0.480000000000004,2020-03-16
1,1,23,21.0,0.43999999999999995,-1.1799999999999997,0.75,2020-03-17
0,0,14,14.0,-0.19999999999999996,-0.9500000000000011,1.1499999999999915,2020-03-18
1,6,22,15.0,0.32000000000000006,2.290000000000001,-2.6099999999999994,2020-03-19
0,3,50,47.0,-0.52,-1.25,1.7600000000000051,2020-03-20
0,0,60,60.0,-0.3800000000000001,-2.1799999999999997,2.569999999999993,2020-03-21
3,1,77,73.0,0.53,-1.4600000000000009,0.9300000000000068,2020-03-22
1,11,107,95.0,-0.22999999999999998,0.8200000000000003,-0.5999999999999943,2020-03-23
2,5,52,45.0,0.21999999999999997,0.21999999999999975,-0.4200000000000017,2020-03-24
0,3,87,84.0,-0.28,-0.6100000000000003,0.8799999999999955,2020-03-25
5,2,88,81.0,0.5100000000000002,-0.6199999999999992,0.09999999999999432,2020-03-26
2,22,30,6.0,0.18999999999999995,2.7699999999999996,-2.9499999999999886,2020-03-27
2,13,185,170.0,-0.26000000000000023,-0.4499999999999993,0.7099999999999937,2020-03-28
8,16,115,91.0,0.5500000000000003,0.5800000000000001,-1.1200000000000045,2020-03-29
4,6,227,217.0,-0.16000000000000014,-1.2300000000000004,1.3800000000000097,2020-03-30
4,22,146,120.0,0.029999999999999805,0.7300000000000004,-0.75,2020-03-31
6,20,437,411.0,-0.2699999999999996,-1.0300000000000011,1.289999999999992,2020-04-01
12,12,235,211.0,0.31999999999999984,-0.3099999999999996,-0.009999999999990905,2020-04-02
9,7,478,462.0,-0.1299999999999999,-1.1399999999999997,1.269999999999996,2020-04-03
13,50,525,462.0,0.009999999999999787,0.5299999999999994,-0.5499999999999972,2020-04-04
8,62,505,435.0,-0.1200000000000001,0.7600000000000007,-0.6300000000000097,2020-04-05
28,44,704,632.0,0.27,-0.2400000000000002,-0.030000000000001137,2020-04-06
13,34,508,461.0,0.0,-0.08000000000000007,0.0800000000000125,2020-04-07
25,58,485,402.0,0.2400000000000002,0.41999999999999993,-0.6600000000000108,2020-04-08
20,67,591,504.0,0.04999999999999982,0.3600000000000003,-0.4099999999999966,2020-04-09
37,38,896,821.0,0.16999999999999993,-0.5200000000000005,0.3499999999999943,2020-04-10
36,137,768,595.0,0.16000000000000014,1.04,-1.2099999999999937,2020-04-11
31,112,918,775.0,0.020000000000000018,0.39000000000000057,-0.4000000000000057,2020-04-12
51,215,905,639.0,0.22999999999999998,1.42,-1.6499999999999915,2020-04-13
29,210,1463,1224.0,-0.20000000000000018,0.5199999999999996,-0.3299999999999983,2020-04-14
39,154,1118,925.0,0.03000000000000025,0.2599999999999998,-0.28000000000000114,2020-04-15
28,171,826,627.0,0.0,0.6099999999999994,-0.6200000000000045,2020-04-16
32,252,1076,792.0,-0.020000000000000018,0.9000000000000004,-0.8700000000000045,2020-04-17
36,248,957,673.0,0.029999999999999805,0.8499999999999996,-0.8799999999999955,2020-04-18
31,287,1324,1006.0,-0.07999999999999963,0.6600000000000001,-0.5799999999999983,2020-04-19
40,540,1540,960.0,-0.050000000000000266,1.820000000000002,-1.7600000000000051,2020-04-20
44,418,1329,867.0,0.010000000000000231,1.0700000000000003,-1.0899999999999892,2020-04-21
