loc,total,deaths,discharged,date,active,perdeath,perdis,peractive
Delhi,4,0,0,2020-03-10,4,0.0,0.0,80.0
Haryana,14,0,0,2020-03-10,14,0.0,0.0,93.33
Karnataka,1,0,0,2020-03-10,1,0.0,0.0,50.0
Kerala,9,0,0,2020-03-10,9,0.0,0.0,90.0
Maharashtra,2,0,0,2020-03-10,2,0.0,0.0,66.67
Punjab,1,0,0,2020-03-10,1,0.0,0.0,50.0
Rajasthan,2,0,0,2020-03-10,2,0.0,0.0,66.67
Tamil Nadu,1,0,0,2020-03-10,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-10,1,0.0,0.0,50.0
Jammu and Kashmir,1,0,0,2020-03-10,1,0.0,0.0,50.0
Ladakh,2,0,0,2020-03-10,2,0.0,0.0,66.67
Uttar Pradesh,9,0,0,2020-03-10,9,0.0,0.0,90.0
Delhi,5,0,0,2020-03-11,5,0.0,0.0,83.33
Haryana,14,0,0,2020-03-11,14,0.0,0.0,93.33
Karnataka,4,0,0,2020-03-11,4,0.0,0.0,80.0
Kerala,17,0,0,2020-03-11,17,0.0,0.0,94.44
Maharashtra,2,0,0,2020-03-11,2,0.0,0.0,66.67
Punjab,1,0,0,2020-03-11,1,0.0,0.0,50.0
Rajasthan,3,0,0,2020-03-11,3,0.0,0.0,75.0
Tamil Nadu,1,0,0,2020-03-11,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-11,1,0.0,0.0,50.0
Jammu and Kashmir,1,0,0,2020-03-11,1,0.0,0.0,50.0
Ladakh,2,0,0,2020-03-11,2,0.0,0.0,66.67
Uttar Pradesh,9,0,0,2020-03-11,9,0.0,0.0,90.0
Delhi,6,0,0,2020-03-12,6,0.0,0.0,85.71
Haryana,14,0,0,2020-03-12,14,0.0,0.0,93.33
Karnataka,4,0,0,2020-03-12,4,0.0,0.0,80.0
Kerala,17,0,0,2020-03-12,17,0.0,0.0,94.44
Maharashtra,11,0,0,2020-03-12,11,0.0,0.0,91.67
Punjab,1,0,0,2020-03-12,1,0.0,0.0,50.0
